OperatorID;Room1;Room2;TravelTime
1;034A04DK 4;044A05DK 4;9
1;044A05DK 4;043A03DK 4;30
1;043A03DK 4;013A08DK 4;14
1;013A08DK 4;013A08DK 3;14
1;013A08DK 3;033A05DK 3;5
1;033A05DK 3;013A08DK 3;5
1;013A08DK 3;013A08DK 4;14
1;013A08DK 4;043A03DK 4;14
1;043A03DK 4;044A05DK 4;30
1;044A05DK 4;044A04DK 4;5
1;044A04DK 4;044A04DK 5;5
1;044A04DK 5;054A04DK 5;9
1;054A04DK 5;044A04DK 5;9
1;044A04DK 5;044A04DK 6;6
1;044A04DK 6;044A04DK 7;7
1;044A04DK 7;044A04DK 8;7
1;044A04DK 8;044A04DK 9;7
1;044A04DK 9;094A01DK 9;11
1;094A01DK 9;094A08DK 9;26
2;034A04DK 4;044A05DK 4;9
2;044A05DK 4;014A03DK 4;9
2;014A03DK 4;014A03DK 3;13
2;014A03DK 3;014A03DK 2;17
2;014A03DK 2;014A03DK 1;16
2;014A03DK 1;014A01DK 1;8
2;014A01DK 1;013A10DK 1;2
2;013A10DK 1;013A07DK 1;8
2;013A07DK 1;013A01DK 1;18
2;013A01DK 1;012A08DK 1;21
2;012A08DK 1;012A02DK 1;2
2;012A02DK 1;012A04DK 1;6
2;012A04DK 1;012A06DK 1;8
3;034A04DK 4;044A05DK 4;9
3;044A05DK 4;043A03DK 4;30
3;043A03DK 4;013A08DK 4;14
3;013A08DK 4;013A08DK 3;14
3;013A08DK 3;033A05DK 3;5
3;033A05DK 3;013A08DK 3;5
3;013A08DK 3;013A08DK 2;14
3;013A08DK 2;013A08DK 1;17
3;013A08DK 1;013A07DK 1;4
3;013A07DK 1;013A10DK 1;8
3;013A10DK 1;014A01DK 1;2
4;034A04DK 4;044A05DK 4;9
4;044A05DK 4;043A03DK 4;30
4;043A03DK 4;032A14DK 4;12
4;032A14DK 4;032A14DK 5;14
4;032A14DK 5;032A14DK 6;9
4;032A14DK 6;053A02DK 6;16
4;053A02DK 6;043A14DK 6;7
4;043A14DK 6;043A14DK 7;6
4;043A14DK 7;043A14DK 8;7
4;043A14DK 8;043A14DK 9;7
4;043A14DK 9;043A14DK 10;5
4;043A14DK 10;103A02DK 10;8
4;103A02DK 10;104A02DK 10;32
4;104A02DK 10;025A02DK 10;19
4;025A02DK 10;025A02DK 9;10
4;025A02DK 9;095A03DK 9;25
4;095A03DK 9;095A06DK 9;10
5;034A04DK 4;044A20DK 4;14
5;044A20DK 4;035A24DK 4;12
5;035A24DK 4;045A16DK 4;12
5;045A16DK 4;045A17DK 4;15
5;045A17DK 4;045A04DK 4;20
5;045A04DK 4;045A17DK 4;20
5;045A17DK 4;046A22DK 4;14
5;046A22DK 4;046A24DK 4;8
5;046A24DK 4;046A01DK 4;12
5;046A01DK 4;046A05DK 4;9
6;034A04DK 4;044A05DK 4;9
6;044A05DK 4;043A03DK 4;30
6;043A03DK 4;013A08DK 4;14
6;013A08DK 4;013A08DK 3;14
6;013A08DK 3;033A05DK 3;5
6;033A05DK 3;013A08DK 3;5
6;013A08DK 3;013A08DK 4;14
6;013A08DK 4;043A03DK 4;14
6;043A03DK 4;032A14DK 4;12
6;032A14DK 4;032A04DK 4;22
6;032A04DK 4;041A17DK 4;15
6;041A17DK 4;031A11DK 4;11
6;031A11DK 4;041A18DK 4;6
6;041A18DK 4;031A08DK 4;4
6;031A08DK 4;031A08DK 5;8
6;031A08DK 5;031A08DK 6;8
